"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-01","71","51","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-02","67","42","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-03","66","41","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-04","66","41","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-05","70","40","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-06","69","40","50"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-07","60","38","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-08","65","33","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-09","71","41","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-10","70","49","51"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-11","67","37","45"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-12","61","37","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-13","66","37","47"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-14","71","39","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-15","76","40","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-16","90","42","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-17","80","51","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-18","83","48","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-19","69","55","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-20","75","53","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-21","75","44","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-22","75","46","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-23","69","48","49"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-24","67","46","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-25","57","44","44"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-26","60","40","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-27","60","46","48"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-28","71","44","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-29","71","51","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-30","68","41","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-01-31","68","40","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-01","73","51","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-02","74","43","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-03","76","44","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-04","72","56","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-05","76","51","64"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-06","80","56","57"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-07","78","43","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-08","74","42","59"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-09","73","50","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-10","81","49","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-11","74","48","57"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-12","83","49","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-13","78","58","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-14","74","55","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-15","75","46","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-16","78","48","64"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-17","71","54","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-18","70","48","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-19","74","42","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-20","76","41","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-21","76","55","55"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-22","81","51",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-23","84","47","64"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-24","84","57",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-25","73","51","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-26","75","38","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-27","74","57","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-02-28","71","49","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-01","73","40","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-02","79","43","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-03","74","43","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-04","78","50","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-05","84","48","61"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-06","85","49","67"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-07","79","51","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-08","83","58","66"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-09","76","56","60"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-10","71","54","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-11","67","49","53"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-12","68","46","54"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-13","76","44","56"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-14","78","44","62"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-15","71","52","52"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-16","75","50","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-17","77","47","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-18","86","58","68"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-19","91","55",
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-20","87","65","65"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-21","78","59","67"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-22","80","56","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-23","70","62","63"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-24","80","56","64"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-25","82","55","67"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-26","80","60","69"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-27","90","64","70"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-28","91","56","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-29","95","56","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-30","84","65","72"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-03-31","90","65","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-01","93","55","75"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-02","98","60","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-03","100","59","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-04","100","65","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-05","100","64","76"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-06","95","73","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-07","97","63","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-08","97","67","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-09","96","72","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-10","100","66","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-11","101","66","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-12","98","76","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-13","99","74","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-14","86","69","72"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-15","87","63","69"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-16","92","63","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-17","91","71","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-18","94","65","77"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-19","98","60","80"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-20","100","63","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-21","93","72","77"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-22","97","65","77"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-23","96","70","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-24","97","73","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-25","86","71","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-26","83","57","58"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-27","84","55","74"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-28","99","65","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-29","103","74","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-04-30","108","70","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-01","107","86","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-02","100","76","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-03","99","74","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-04",,"72","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-05","106","74","92"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-06","108","84","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-07","106","83","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-08","100","74","87"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-09","101","76","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-10","101","77","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-11","99","81","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-12","108","75","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-13","111","82","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-14","110","83","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-15","103","82","82"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-16","93","74","83"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-17","103","71","89"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-18","109","79","93"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-19","107","83","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-20","99","73","73"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-21","79","64","71"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-22","85","64","74"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-23","93","61","78"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-24","99","72","87"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-25","106","71","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-26","104","77","86"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-27","110","81","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-28","108","84","90"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-29","107","84","93"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-30","115","80","95"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-05-31","115","88","99"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-01","115","82","100"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-02","118","87","100"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-03","120","95","103"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-04","121","97","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-05","119","94","99"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-06","113","92","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-07","103","85","85"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-08","104","78","88"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-09","102","80","81"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-10","97","70","84"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-11","105","73","91"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-12","112","78","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-13","116","83","99"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-14","118","88","101"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-15","124","88","105"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-16","125","91","108"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-17","128","94","113"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-18","124","101","107"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-19","125","97","108"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-20","124","98","104"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-21","122","96","105"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-22","117","94","102"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-23","108","94","94"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-24","113","86","96"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-25","114","89","100"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-26","122","86","105"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-27","122","98","106"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-28","126","95","113"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-29","121","96","97"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-06-30","114","93","97"
"USC00042319","DEATH VALLEY NATIONAL PARK, CA US","2021-07-01","117","91","102"
